iteration_frequency,error_pattern_change,time_to_completion,self_evaluation_score,external_feedback_quality,task_complexity_level,engagement_depth,confidence_level,knowledge_transfer_success,consistency_score,abstract_signal_strength,response_latency_variability,intentional_error_flag,revisit_rate,vocabulary_expansion_count,feedback_revision_delay,surprise_tolerance_score,exploratory_task_deviation,self_explanation_count,output_compression_ratio,emotional_consistency_score,curiosity_level
12,0.45,150.2,3,2,4,0.75,0.65,1,0.80,0.70,0.25,0,3,8,120.5,0.60,0.30,2,0.55,0.85,0.70
8,-0.10,320.5,2,1,7,0.60,0.40,0,0.65,0.50,0.45,0,5,4,300.0,0.45,0.50,1,0.40,0.60,0.55
15,0.30,80.7,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.2,0.70,0.20,3,0.65,0.95,0.80
5,0.05,450.1,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
10,0.25,200.3,3,2,5,0.70,0.60,1,0.75,0.65,0.30,1,4,6,180.4,0.65,0.40,5,0.50,0.80,0.75
18,0.60,100.4,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,12,30.1,0.80,0.15,4,0.70,0.90,0.85
7,-0.20,380.9,2,1,6,0.55,0.45,0,0.60,0.55,0.50,0,6,3,450.7,0.50,0.55,1,0.45,0.65,0.50
14,0.35,130.6,4,2,3,0.80,0.75,1,0.85,0.70,0.20,0,2,9,90.3,0.75,0.25,3,0.60,0.85,0.80
9,0.15,280.7,2,1,6,0.65,0.50,0,0.70,0.60,0.40,0,5,5,250.6,0.55,0.45,2,0.50,0.70,0.60
11,0.50,160.8,3,2,4,0.75,0.65,1,0.80,0.65,0.25,1,3,7,110.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,400.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
13,0.40,120.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,300.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,90.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,350.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,140.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,420.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,110.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,310.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,170.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,390.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,130.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,290.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,100.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,340.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,150.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,410.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,120.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,300.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,160.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,380.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,140.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,280.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,110.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,330.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,160.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,400.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,130.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,290.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,170.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,370.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,150.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,270.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,120.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,320.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,170.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,390.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,140.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,280.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,180.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,360.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,160.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,260.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,130.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,310.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,180.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,380.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,150.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,270.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,190.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,350.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,170.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,250.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,140.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,300.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,190.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,370.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,160.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,260.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,200.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,340.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,180.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,240.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,150.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,290.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,200.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,360.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,170.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,250.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,210.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,330.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,190.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,230.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,160.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,280.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,210.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,350.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,180.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,240.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,220.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,320.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,200.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,220.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,170.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,270.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,220.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,340.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,190.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,230.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,230.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,310.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,210.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,210.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,180.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,260.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,230.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,330.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,200.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,220.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,240.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,300.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,220.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,200.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,190.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,250.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,240.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,320.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,210.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,210.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,250.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,290.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,230.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,190.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,200.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,240.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,250.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,310.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,220.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,200.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,260.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,280.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,240.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,180.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,210.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,230.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,260.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,300.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,230.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,190.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,270.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,270.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,250.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,170.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,220.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,220.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,270.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,290.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,240.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,180.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,280.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,260.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,260.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,160.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,230.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,210.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.30,280.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,280.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,250.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,170.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.35,290.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,250.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.40,270.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,150.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,240.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
11,0.20,180.5,3,2,5,0.70,0.60,1,0.75,0.65,0.30,1,4,7,130.2,0.60,0.40,4,0.50,0.80,0.70
9,-0.15,340.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,420.5,0.45,0.55,1,0.45,0.60,0.50
14,0.50,120.3,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.1,0.75,0.20,3,0.65,0.90,0.85
6,0.05,400.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,610.7,0.35,0.65,0,0.30,0.50,0.40
16,0.60,90.4,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.2,0.80,0.15,4,0.70,0.95,0.90
8,-0.10,300.6,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,310.8,0.50,0.50,1,0.40,0.65,0.55
